time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7
125;2;56;2024.000000;4.4;717048;1912876;28;4.1;19;11;6.9;11;17;5.9;8.9;11;7.9
126;2;56;4392.000000;4.4;717048;1912876;28;4.0;19;11;5.9;11;17;6.9;9.9;11;7.9
127;2;56;4392.000000;4.4;717048;1912876;28;4.1;19;11;4.9;11;17;6.9;8.9;11;8.9
128;2;56;3240.000000;4.4;717048;1912876;28;4.1;19;12;6.0;11;18;6.0;9.0;10;9.0
129;2;56;4264.000000;4.4;717048;1912876;28;4.1;19;11;6.0;11;17;6.0;9.0;10;9.0
130;2;56;4264.000000;4.4;717048;1912876;28;4.0;19;11;6.9;11;18;5.9;8.9;11;7.9
131;2;56;4392.000000;4.4;717048;1912876;28;4.2;19;11;6.0;10;17;7.0;9.0;12;9.0
132;2;56;4392.000000;4.4;717048;1912876;28;4.0;19;11;6.0;10;18;7.0;14;12;8.0
133;2;24928.000000;89336.000000;4.4;717048;1912876;28;4.1;19;9.9;5.9;11;17;5.9;8.9;12;8.9
134;2;56;4264.000000;4.4;717048;1912876;28;4.1;19;11;5.9;9.9;17;5.9;8.9;12;7.9
135;2;0.0;0.0;4.4;717048;1912876;28;4.1;19;11;6.0;11;18;6.0;9.0;11;8.0
136;2;56;4264.000000;4.4;717048;1912876;28;4.1;19;11;5.9;11;18;6.9;9.9;12;8.9
137;2;0.0;0.0;4.4;717048;1912876;28;4.3;19;12;6.9;11;17;5.9;9.9;12;8.9
138;2;47376.000000;154160.000000;4.4;717048;1912876;28;4.1;19;11;5.0;10;18;7.0;9.0;12;8.0
139;2;0.0;0.0;4.4;717048;1912876;28;4.0;19;12;6.0;10;17;6.0;9.0;12;9.0
140;2;56;4392.000000;4.4;717048;1912876;28;4.1;19;9.9;5.9;11;17;5.9;8.9;11;7.9
141;2;0.0;0.0;4.4;717048;1912876;28;4.0;19;11;7.0;11;18;6.0;9.0;13;8.0
142;2;56;4136.000000;4.4;717048;1912876;28;4.3;19;11;5.9;11;17;6.9;8.9;12;8.9
143;2;0.0;0.0;4.4;717048;1912876;28;4.0;19;10;6.0;10;17;6.0;10;12;9.0
144;2;0.0;0.0;4.4;717048;1912876;28;4.1;19;12;6.9;9.9;18;5.9;8.9;11;7.9
145;2;0.0;0.0;4.4;717048;1912876;28;4.1;19;12;7.0;10;17;7.0;9.0;11;8.0
146;2;0.0;0.0;4.4;717048;1912876;28;4.1;19;11;5.9;11;18;5.9;9.9;12;7.9
147;2;0.0;0.0;4.4;717048;1912876;28;3.9;19;12;6.0;10;17;6.0;9.0;10;9.0
148;2;2208.000000;8528.000000;4.4;717048;1912876;28;4.4;19;14;7.0;16;21;7.0;10;20;14
149;1;0.0;0.0;4.4;717048;1912876;28;4.1;19;11;6.9;11;18;5.9;9.9;11;8.9
150;1;0.0;0.0;4.4;717048;1912876;28;4.0;19;12;5.9;9.9;17;6.9;8.9;11;7.9
151;2;21505.376953;73066.664062;4.4;717048;1912876;28;4.1;19;12;7.0;11;17;7.0;10;12;10
152;2;8200.000000;34152.000000;4.4;717048;1912876;28;4.2;19;11;6.0;10;17;6.0;9.0;11;8.0
153;2;1496.000000;4048.000000;4.4;717048;1912876;28;3.9;19;12;5.9;9.9;16;5.9;7.9;9.9;8.9
154;2;71488.000000;73032.000000;4.4;717048;1912876;28;4.3;19;11;6.9;11;18;5.9;9.9;12;7.9
155;2;13008.000000;35448.000000;4.4;717048;1912876;28;4.2;19;12;6.0;10;17;7.0;9.0;11;9.0
156;2;44000.000000;108936.000000;4.4;717048;1912876;28;4.4;19;11;6.9;12;17;5.9;9.9;11;9.9
157;2;6496.000000;16192.000000;4.4;717048;1912876;28;4.0;19;11;6.9;11;16;5.9;8.9;12;7.9
158;2;6160.000000;38496.000000;4.4;717048;1912876;28;4.2;19;12;7.0;17;20;7.0;10;14;10
159;1;0.0;0.0;4.4;711592;1907212;28;4.2;19;12;6.0;10;17;6.0;9.0;11;10
160;1;224;0.0;4.4;711592;1907212;28;3.9;19;13;5.9;11;18;5.9;8.9;9.9;7.9
161;1;116416.000000;152744.000000;4.4;711592;1907212;28;4.4;19;13;7.0;10;17;7.0;9.0;11;9.0
162;1;178248.000000;296368.000000;4.4;711592;1907212;28;4.8;19;12;6.9;11;18;5.9;9.9;12;9.9
163;1;7904.000000;26312.000000;4.4;711592;1907212;28;4.0;19;10;7.0;11;16;6.0;10;11;9.0
164;1;3064.000000;8096.000000;4.4;711592;1907212;28;4.0;19;11;5.9;11;17;5.9;8.9;11;7.9
165;1;0.0;0.0;4.4;711592;1907212;28;3.9;19;11;5.9;9.9;17;5.9;7.9;9.9;7.9
166;1;0.0;0.0;4.4;711592;1907212;28;4.1;19;12;5.9;11;18;6.9;8.9;9.9;8.9
167;1;4440.000000;8096.000000;4.4;711592;1907212;28;4.1;19;12;6.0;11;18;7.0;9.0;11;8.0
168;1;14664.000000;50560.000000;4.4;711592;1907212;28;4.1;19;9.9;5.9;11;17;5.9;8.9;12;8.9
169;1;131720.000000;131592.000000;4.4;711592;1907212;28;4.2;19;12;7.0;10;17;6.0;9.0;12;8.0
170;1;2728.000000;6072.000000;4.4;711592;1907212;28;4.0;19;10;5.0;11;16;6.0;9.0;12;8.0
171;1;51152.000000;131768.000000;4.4;711592;1907212;28;4.4;19;12;6.9;11;19;6.9;8.9;11;9.9
172;1;38925936.000000;897512.000000;4.4;711592;1907212;28;9.6;19;26;13;16;22;12;14;17;23
173;1;47393976.000000;887464.000000;4.4;711592;1907212;28;10;19;28;14;16;23;13;16;19;24
174;1;47389880.000000;774768.000000;4.4;711592;1907212;28;9.9;19;28;13;16;23;13;16;17;24
175;1;45988600.000000;847880.000000;4.4;711592;1907212;28;9.9;19;28;15;16;23;11;15;17;24
176;1;41674808.000000;777928.000000;4.4;711592;1907212;28;9.5;19;27;13;16;22;11;14;18;23
177;1;45744344.000000;810512.000000;4.4;711592;1907212;28;9.6;19;27;15;16;23;12;15;18;23
178;1;48054352.000000;843008.000000;4.4;711592;1907212;28;9.8;19;28;15;16;23;11;16;17;24
179;1;41493336.000000;734312.000000;4.4;711592;1907212;28;9.3;19;26;14;16;23;11;13;17;22
180;1;38153248.000000;721928.000000;4.4;711592;1907212;28;9.1;19;25;12;15;21;12;15;16;22
181;1;26519336.000000;583136.000000;4.4;711592;1907212;28;8.1;19;22;11;15;20;9.9;13;16;20
182;1;31082040.000000;633776.000000;4.4;711592;1907212;28;8.6;19;23;12;15;21;9.9;14;17;21
183;1;28719840.000000;548880.000000;4.4;711592;1907212;28;8.3;19;23;11;15;21;9.9;14;15;20
184;1;29768032.000000;609160.000000;4.4;711592;1907212;29;8.4;19;22;11;14;22;10;13;17;21
185;1;33716472.000000;683040.000000;4.4;711592;1907212;29;8.8;19;24;12;15;21;11;13;17;22
186;1;27883512.000000;582896.000000;4.4;711592;1907212;29;8.2;19;23;11;15;21;10;13;16;20
187;1;3425200.000000;208544.000000;4.4;711592;1907212;29;4.6;19;11;6.9;11;18;6.9;8.9;11;9.9
188;1;18856.000000;71968.000000;4.4;711592;1907212;29;4.1;19;11;6.0;12;17;6.0;9.0;13;9.0
189;1;5720.000000;21640.000000;4.4;711592;1907212;29;4.0;19;11;8.9;11;17;5.9;5.9;12;8.9
190;1;224;4264.000000;4.4;711592;1907212;29;4.0;19;9.9;8.9;11;17;5.9;5.9;11;8.9
