time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7
133;1;560;8272.000000;4.4;708348;1777964;28;3.8;19;8.9;1.9;9.9;8.9;0.0;0.90;8.9;0.90
134;1;0.0;0.0;4.4;708348;1777964;28;3.9;19;9.0;1.00;9.0;9.0;2.0;1.00;9.0;2.0
135;1;2144.000000;8272.000000;4.4;708348;1777964;28;4.0;19;10;1.00;9.0;8.0;3.0;0.0;10;1.00
136;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;9.0;1.00;10;9.0;3.0;1.00;9.0;0.0
137;1;2344.000000;8272.000000;4.4;708348;1777964;28;3.8;19;8.9;0.0;9.9;7.9;0.90;1.9;9.9;0.90
138;1;616;8272.000000;4.4;708348;1777964;28;3.9;19;8.9;0.0;9.9;7.9;1.9;1.9;8.9;0.90
139;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;9.0;0.0;9.0;9.0;1.00;2.0;9.0;1.00
140;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;8.9;0.90;8.9;7.9;0.90;2.9;8.9;0.0
141;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;9.0;0.0;10;8.0;2.0;2.0;9.0;1.00
142;1;56;4136.000000;4.4;708348;1777964;28;3.9;19;9.0;2.0;9.0;8.0;1.00;2.0;10;1.00
143;1;0.0;0.0;4.4;708348;1777964;28;3.9;19;9.9;0.90;9.9;8.9;3.9;0.0;8.9;0.0
144;1;56;4136.000000;4.4;708348;1777964;28;3.9;19;8.9;0.90;8.9;7.9;2.9;0.90;8.9;0.90
145;1;56;4136.000000;4.4;708348;1777964;28;3.9;19;9.0;1.00;9.0;8.0;3.0;0.0;10;1.00
146;1;56;4392.000000;4.4;708348;1777964;28;3.8;19;10;1.00;10;8.0;3.0;1.00;9.0;0.0
147;1;56;4136.000000;4.4;708348;1777964;28;4.0;19;9.0;0.0;9.0;9.0;3.0;0.0;9.0;1.00
148;1;14216.000000;39824.000000;4.4;708348;1777964;28;3.9;19;9.9;0.90;9.9;7.9;2.9;0.90;9.9;0.90
149;1;56;4136.000000;4.4;708348;1777964;28;3.9;19;8.9;0.90;8.9;7.9;2.9;0.0;8.9;0.0
150;1;56;4136.000000;4.4;708348;1777964;28;4.0;19;8.9;0.90;8.9;8.9;2.9;0.90;9.9;0.90
151;1;56;4136.000000;4.4;708348;1777964;28;3.8;19;9.0;1.00;10;8.0;3.0;0.0;9.0;1.00
152;1;56;4136.000000;4.4;708348;1777964;28;4.0;19;8.9;0.90;8.9;8.9;0.90;0.90;9.9;1.9
153;1;342936.000000;547408.000000;4.4;708348;1777964;28;4.1;19;9.0;2.0;11;9.0;2.0;1.00;10;4.0
154;1;137520.000000;209032.000000;4.4;708348;1777964;28;3.9;19;7.9;0.90;9.9;9.9;0.90;0.0;9.9;2.9
155;1;26880.000000;67488.000000;4.4;708348;1777964;28;3.9;19;7.9;0.90;9.9;7.9;1.9;0.90;8.9;1.9
156;1;56;4136.000000;4.4;708348;1777964;28;3.6;19;7.9;1.9;8.9;7.9;0.0;1.9;9.9;0.90
157;1;44792.000000;63616.000000;4.4;708348;1777964;28;3.8;19;8.0;1.00;9.0;9.0;3.0;1.00;9.0;0.0
158;1;56;4136.000000;4.4;708348;1777964;28;3.8;19;9.0;2.0;10;8.0;2.0;0.0;9.0;0.0
159;1;56;4136.000000;4.4;708348;1777964;28;3.9;19;8.9;0.90;8.9;8.9;1.9;0.90;9.9;1.9
160;1;56;4136.000000;4.4;708348;1777964;28;3.8;19;8.9;0.0;9.9;8.9;0.90;1.9;8.9;0.0
161;1;56;4136.000000;4.4;708348;1777964;28;3.6;19;8.0;1.00;9.0;9.0;1.00;1.00;9.0;2.0
162;1;56;4264.000000;4.4;708348;1777964;28;3.8;19;6.9;0.90;9.9;7.9;0.90;0.0;8.9;2.9
163;1;56;4264.000000;4.4;708348;1777964;28;3.8;19;7.9;2.9;8.9;7.9;0.90;0.0;9.9;0.0
164;1;56;4264.000000;4.4;708348;1777964;28;3.5;19;8.0;3.0;9.0;9.0;1.00;1.00;9.0;1.00
165;1;56;4264.000000;4.4;708348;1777964;28;3.6;19;7.9;1.9;9.9;7.9;0.90;0.0;9.9;0.0
166;1;56;4264.000000;4.4;708348;1777964;28;3.8;19;8.0;1.00;9.0;8.0;2.0;2.0;9.0;1.00
167;1;56;4264.000000;4.4;708348;1777964;28;3.6;19;7.9;0.0;8.9;8.9;0.90;1.9;9.9;0.0
168;1;41536.000000;56408.000000;4.4;708348;1777964;28;3.6;19;8.0;2.0;10;8.0;1.00;2.0;9.0;1.00
169;1;560;8400.000000;4.4;708348;1777964;28;3.9;19;8.9;0.90;8.9;7.9;2.9;0.90;9.9;0.0
170;1;56;4136.000000;4.4;708348;1777964;28;3.6;19;8.0;1.00;9.0;8.0;1.00;3.0;9.0;0.0
171;1;56;4264.000000;4.4;708348;1777964;28;3.6;19;8.0;1.00;10;8.0;1.00;1.00;9.0;0.0
172;1;56;4264.000000;4.4;708348;1777964;28;3.6;19;7.9;0.90;8.9;8.9;0.90;2.9;9.9;0.90
173;1;112;8400.000000;4.4;708348;1777964;28;3.8;19;7.9;0.90;8.9;7.9;0.0;1.9;8.9;0.90
174;1;560;4136.000000;4.4;708348;1777964;28;3.6;19;7.9;1.9;9.9;7.9;0.90;0.90;9.9;0.90
175;1;56;4136.000000;4.4;708348;1777964;28;3.5;19;7.9;1.9;8.9;8.9;0.0;2.9;8.9;0.0
176;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;8.0;2.0;9.0;8.0;1.00;0.0;10;2.0
177;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;8.0;1.00;10;8.0;0.0;2.0;10;0.0
178;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;7.9;0.90;8.9;8.9;0.0;0.90;8.9;2.9
179;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;7.9;0.90;8.9;8.9;0.90;0.0;9.9;2.9
180;1;0.0;0.0;4.4;708348;1777964;28;3.9;19;8.0;1.00;10;8.0;2.0;1.00;9.0;0.0
181;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;7.9;2.9;8.9;8.9;1.9;0.90;9.9;0.90
182;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;8.0;2.0;9.0;8.0;1.00;0.0;9.0;0.0
183;1;736;8528.000000;4.4;708348;1777964;28;3.5;19;7.9;2.9;9.9;8.9;0.90;0.0;9.9;0.90
184;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;8.0;2.0;9.0;8.0;1.00;1.00;9.0;0.0
185;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;7.9;0.90;8.9;7.9;1.9;0.90;9.9;0.90
186;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;8.0;1.00;10;9.0;0.0;2.0;9.0;1.00
187;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;8.0;1.00;9.0;8.0;2.0;1.00;9.0;0.0
188;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;7.9;1.9;8.9;7.9;1.9;0.90;9.9;0.90
189;1;0.0;0.0;4.4;708348;1777964;28;3.9;19;9.0;1.00;9.0;9.0;2.0;1.00;9.0;1.00
190;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;7.9;1.9;9.9;7.9;0.90;0.0;9.9;1.9
191;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;7.0;2.0;9.0;8.0;1.00;1.00;9.0;0.0
192;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;8.0;12;10;9.0;2.0;2.0;10;4.0
193;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;8.0;3.0;9.0;8.0;1.00;1.00;10;1.00
194;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;7.9;1.9;8.9;7.9;1.9;0.90;8.9;0.0
195;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;8.0;1.00;10;8.0;1.00;1.00;10;1.00
196;1;0.0;0.0;4.4;708348;1777964;28;3.6;19;8.0;1.00;9.0;8.0;1.00;2.0;9.0;0.0
197;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;8.9;0.90;8.9;7.9;1.9;1.9;9.9;0.90
198;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;7.9;0.90;9.9;7.9;0.90;1.9;8.9;0.0
199;1;0.0;0.0;4.4;708348;1777964;28;3.8;19;8.0;1.00;9.0;9.0;2.0;0.0;10;1.00
